ID;LABEL;DICE;HDRFDST
117122-PP;WhiteMatter;0.8155558369812899;3.0
117122-PP;GreyMatter;0.7203926325414746;2.0
117122-PP;Hippocampus;0.5616020896821942;14.317821063276353
117122-PP;Amygdala;0.48475580617413744;13.601470508735444
117122-PP;Thalamus;0.7695431946033006;13.379088160259652
118528-PP;WhiteMatter;0.824801818742349;2.8284271247461903
118528-PP;GreyMatter;0.719099118566564;3.0
118528-PP;Hippocampus;0.5300197810157969;15.84297951775486
118528-PP;Amygdala;0.47218334499650105;13.92838827718412
118528-PP;Thalamus;0.7329790139276936;12.727922061357855
118730-PP;WhiteMatter;0.8123552361534735;2.8284271247461903
118730-PP;GreyMatter;0.7288859471421599;2.0
118730-PP;Hippocampus;0.48765192462746737;13.416407864998739
118730-PP;Amygdala;0.5504761904761905;11.357816691600547
118730-PP;Thalamus;0.734873977670314;13.92838827718412
118932-PP;WhiteMatter;0.8302776476884993;2.8284271247461903
118932-PP;GreyMatter;0.7346928204006213;2.0
118932-PP;Hippocampus;0.5063500014733182;13.601470508735444
118932-PP;Amygdala;0.5348498635122839;12.328828005937952
118932-PP;Thalamus;0.7543660312250137;12.083045973594572
120111-PP;WhiteMatter;0.8439125562971856;2.23606797749979
120111-PP;GreyMatter;0.7161674115140766;2.0
120111-PP;Hippocampus;0.5161368747340911;13.038404810405298
120111-PP;Amygdala;0.5182469859889215;9.433981132056603
120111-PP;Thalamus;0.714390402211009;14.628738838327793
122317-PP;WhiteMatter;0.8327983074826221;3.0
122317-PP;GreyMatter;0.7334941655773131;2.0
122317-PP;Hippocampus;0.529115896854633;15.394804318340652
122317-PP;Amygdala;0.5730420292538418;13.19090595827292
122317-PP;Thalamus;0.7692532657438097;8.12403840463596
122620-PP;WhiteMatter;0.8042699924693821;3.0
122620-PP;GreyMatter;0.7352687941157277;2.449489742783178
122620-PP;Hippocampus;0.5418216470443576;15.0
122620-PP;Amygdala;0.5737578306015618;13.0
122620-PP;Thalamus;0.7656319487681224;11.0
123117-PP;WhiteMatter;0.841871688229802;3.1622776601683795
123117-PP;GreyMatter;0.7209285443619633;3.0
123117-PP;Hippocampus;0.5139484348387855;15.132745950421556
123117-PP;Amygdala;0.5287214329833231;12.727922061357855
123117-PP;Thalamus;0.719626168224299;16.09347693943108
123925-PP;WhiteMatter;0.8288494660993379;3.1622776601683795
123925-PP;GreyMatter;0.7152814536882061;2.0
123925-PP;Hippocampus;0.5173239848086474;15.811388300841896
123925-PP;Amygdala;0.5488102777526463;11.489125293076057
123925-PP;Thalamus;0.7761232239621112;15.231546211727817
124422-PP;WhiteMatter;0.7836377312127096;3.1622776601683795
124422-PP;GreyMatter;0.712086674416261;2.0
124422-PP;Hippocampus;0.5528637177192534;12.36931687685298
124422-PP;Amygdala;0.6212452929328313;11.0
124422-PP;Thalamus;0.8021387855090215;11.74734012447073
117122;WhiteMatter;0.817343016260076;2.23606797749979
117122;GreyMatter;0.7219085338514423;2.0
117122;Hippocampus;0.580975087246467;12.24744871391589
117122;Amygdala;0.48333015812535723;13.45362404707371
117122;Thalamus;0.7754004442885537;5.385164807134504
118528;WhiteMatter;0.8263677557662196;2.23606797749979
118528;GreyMatter;0.7204418918249594;2.23606797749979
118528;Hippocampus;0.5478587614376272;13.45362404707371
118528;Amygdala;0.47081373061508974;13.784048752090222
118528;Thalamus;0.7422496657966771;5.830951894845301
118730;WhiteMatter;0.8152041835459299;2.23606797749979
118730;GreyMatter;0.7306962188362963;1.7320508075688772
118730;Hippocampus;0.5099742499922439;9.16515138991168
118730;Amygdala;0.5495682210708117;11.40175425099138
118730;Thalamus;0.7389719856015382;7.0710678118654755
118932;WhiteMatter;0.832503805045808;2.23606797749979
118932;GreyMatter;0.7363413943362555;2.0
118932;Hippocampus;0.5251325169073295;11.575836902790225
118932;Amygdala;0.5391304347826087;12.24744871391589
118932;Thalamus;0.761520250274795;5.830951894845301
120111;WhiteMatter;0.8453933343253985;2.0
120111;GreyMatter;0.7173486002416093;2.0
120111;Hippocampus;0.5313593203398301;10.0
120111;Amygdala;0.5201991349057373;9.273618495495704
120111;Thalamus;0.7247261246371284;5.830951894845301
122317;WhiteMatter;0.83481954906068;2.23606797749979
122317;GreyMatter;0.7356885082056727;1.7320508075688772
122317;Hippocampus;0.5564597034890202;11.180339887498949
122317;Amygdala;0.5714285714285714;13.30413469565007
122317;Thalamus;0.7704208221843833;6.782329983125268
122620;WhiteMatter;0.8064457848989819;2.23606797749979
122620;GreyMatter;0.7374428405983977;2.0
122620;Hippocampus;0.5695636796244494;11.357816691600547
122620;Amygdala;0.5698714127565359;13.19090595827292
122620;Thalamus;0.7697314164716371;5.0990195135927845
123117;WhiteMatter;0.8452956463542889;2.23606797749979
123117;GreyMatter;0.7233371063900275;2.23606797749979
123117;Hippocampus;0.5300986693219879;12.206555615733702
123117;Amygdala;0.5322809506917346;12.649110640673518
123117;Thalamus;0.730761094893599;5.744562646538029
123925;WhiteMatter;0.8320443712626744;2.449489742783178
123925;GreyMatter;0.7174083460281134;2.0
123925;Hippocampus;0.5327812284334024;13.2664991614216
123925;Amygdala;0.5478017513767266;11.489125293076057
123925;Thalamus;0.7794576126414692;5.916079783099616
124422;WhiteMatter;0.7698253321798971;5.0
124422;GreyMatter;0.71406930635122;2.0
124422;Hippocampus;0.5737715715979449;22.67156809750927
124422;Amygdala;0.61561144839549;11.575836902790225
124422;Thalamus;0.8021126760563381;11.357816691600547
