ID;LABEL;DICE;HDRFDST
117122;WhiteMatter;0.7999354225026398;3.1622776601683795
117122;GreyMatter;0.7079775476261919;2.23606797749979
117122;Hippocampus;0.36921857515852297;18.24828759089466
117122;Amygdala;0.4199282024341126;24.289915602982237
117122;Thalamus;0.6677205725272378;15.362291495737216
118528;WhiteMatter;0.8089299236700926;3.605551275463989
118528;GreyMatter;0.7066019858912025;4.123105625617661
118528;Hippocampus;0.3500906728486231;25.80697580112788
118528;Amygdala;0.34427529337139234;21.0
118528;Thalamus;0.6540735807551815;15.297058540778355
118730;WhiteMatter;0.7959778691840991;3.0
118730;GreyMatter;0.7160857864692959;2.449489742783178
118730;Hippocampus;0.33476251925238315;18.466185312619388
118730;Amygdala;0.44647395171537485;25.199206336708304
118730;Thalamus;0.6667763360819231;15.264337522473747
118932;WhiteMatter;0.8148008906886147;3.3166247903554
118932;GreyMatter;0.7224882599787662;3.0
118932;Hippocampus;0.3270530248827411;18.681541692269406
118932;Amygdala;0.4176394293125811;22.20360331117452
118932;Thalamus;0.6730831708901884;15.0
120111;WhiteMatter;0.8332135267554697;2.449489742783178
120111;GreyMatter;0.7037675398415139;3.0
120111;Hippocampus;0.33879606041762783;21.047565179849187
120111;Amygdala;0.3941682242990654;22.15851980616034
120111;Thalamus;0.6339966993495777;17.08800749063506
122317;WhiteMatter;0.8164653152521039;3.0
122317;GreyMatter;0.7216477295048692;2.449489742783178
122317;Hippocampus;0.35257290086445614;18.138357147217054
122317;Amygdala;0.4800478509783816;23.345235059857504
122317;Thalamus;0.6851620947630923;14.177446878757825
122620;WhiteMatter;0.7894472296324979;3.605551275463989
122620;GreyMatter;0.7226307702714455;3.605551275463989
122620;Hippocampus;0.3547893202458105;20.024984394500787
122620;Amygdala;0.4655434001437355;21.563858652847824
122620;Thalamus;0.6846200633402546;14.317821063276353
123117;WhiteMatter;0.829009584118479;4.898979485566356
123117;GreyMatter;0.7087273024349763;4.123105625617661
123117;Hippocampus;0.32810643395601613;22.02271554554524
123117;Amygdala;0.4041321020503991;21.72556098240043
123117;Thalamus;0.644318204628942;17.88854381999832
123925;WhiteMatter;0.8148250509889424;3.7416573867739413
123925;GreyMatter;0.7024245238915408;2.8284271247461903
123925;Hippocampus;0.3526453512143266;19.313207915827967
123925;Amygdala;0.44503607007901064;20.71231517720798
123925;Thalamus;0.7091990483743061;15.132745950421556
124422;WhiteMatter;0.7677239596672539;3.605551275463989
124422;GreyMatter;0.6987941970876582;2.8284271247461903
124422;Hippocampus;0.36340200457808297;17.69180601295413
124422;Amygdala;0.5193571372021217;22.360679774997898
124422;Thalamus;0.7157786534178516;15.524174696260024
117122-PP;WhiteMatter;0.8011661909528409;2.8284271247461903
117122-PP;GreyMatter;0.7092301789942981;2.0
117122-PP;Hippocampus;0.37547456340167046;16.911534525287763
117122-PP;Amygdala;0.43607243607243606;20.54263858417414
117122-PP;Thalamus;0.6809938971229293;7.810249675906654
118528-PP;WhiteMatter;0.8098241215872145;3.1622776601683795
118528-PP;GreyMatter;0.7075503101830837;3.605551275463989
118528-PP;Hippocampus;0.363022863459189;19.621416870348583
118528-PP;Amygdala;0.35209211806681806;19.209372712298546
118528-PP;Thalamus;0.6689653748477278;7.0710678118654755
118730-PP;WhiteMatter;0.797626158975932;2.449489742783178
118730-PP;GreyMatter;0.7171835212714643;2.0
118730-PP;Hippocampus;0.34166967681618254;16.522711641858304
118730-PP;Amygdala;0.46663346613545814;16.673332000533065
118730-PP;Thalamus;0.6865128096548804;7.280109889280518
118932-PP;WhiteMatter;0.8158082327285016;3.0
118932-PP;GreyMatter;0.724298675312994;2.0
118932-PP;Hippocampus;0.33682787992956303;16.64331697709324
118932-PP;Amygdala;0.4325776658270361;18.138357147217054
118932-PP;Thalamus;0.6903754351587418;7.14142842854285
120111-PP;WhiteMatter;0.8338922186435527;2.23606797749979
120111-PP;GreyMatter;0.7048175818186126;2.23606797749979
120111-PP;Hippocampus;0.3465895099729131;16.822603841260722
120111-PP;Amygdala;0.4069157147267675;15.811388300841896
120111-PP;Thalamus;0.6581451612903226;8.602325267042627
122317-PP;WhiteMatter;0.8175352705294753;3.0
122317-PP;GreyMatter;0.7230716395557153;2.0
122317-PP;Hippocampus;0.3672302212411579;16.30950643030009
122317-PP;Amygdala;0.49668347041655614;18.05547008526779
122317-PP;Thalamus;0.6987623481321676;7.0710678118654755
122620-PP;WhiteMatter;0.7911141381675009;3.0
122620-PP;GreyMatter;0.7237819603819516;3.0
122620-PP;Hippocampus;0.36311709506323947;17.233687939614086
122620-PP;Amygdala;0.4826158940397351;17.233687939614086
122620-PP;Thalamus;0.6987987923687986;7.14142842854285
123117-PP;WhiteMatter;0.8308972204055779;4.358898943540674
123117-PP;GreyMatter;0.7107539115816166;3.0
123117-PP;Hippocampus;0.34481770353538455;17.029386365926403
123117-PP;Amygdala;0.4176641863474604;19.1049731745428
123117-PP;Thalamus;0.6652842864844689;7.810249675906654
123925-PP;WhiteMatter;0.816666011045226;3.3166247903554
123925-PP;GreyMatter;0.7039410712056265;2.23606797749979
123925-PP;Hippocampus;0.36295095086662593;16.55294535724685
123925-PP;Amygdala;0.45592116839697344;16.401219466856727
123925-PP;Thalamus;0.7212969310803726;7.0
124422-PP;WhiteMatter;0.7699192224290317;3.0
124422-PP;GreyMatter;0.7001035465645189;2.23606797749979
124422-PP;Hippocampus;0.37203376333811117;15.84297951775486
124422-PP;Amygdala;0.5389418337167269;16.97056274847714
124422-PP;Thalamus;0.7308634415186773;5.830951894845301
